split,num_forget_samples,model,method,trainer,controller_family,monitoring_signal,run_name,is_baseline,is_old_copy,learning_rate,per_device_train_batch_size,gradient_accumulation_steps,effective_batch_size_single_gpu,epochs_configured,beta,alpha,gamma,retain_loss_type,sampling_policy,retain_policy_after_stop,forget_loss_denominator,rebound_semantics,moving_average_window,criterion_threshold,stop_ratio_threshold,absolute_nll_gain_threshold,warm_up_epochs,stop_patience,rebound_ratio_threshold,rebound_delta,reactivation_patience,forget_quality,model_utility,forget_truth_ratio,exact_memorization,extraction_strength,forget_Q_A_Prob,forget_Q_A_ROUGE,privleak,final_active_samples,final_stopped_samples,stop_events,reactivation_events,saved_forget_instances,saved_forget_instances_pct_of_10epoch_budget,trajectory_final_epoch,trainer_completed_epoch,global_step,train_runtime_seconds,train_runtime_minutes,summary_json,trajectory_file,trainer_state_json,run_directory
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked,False,False,1e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,0,1,,0.1,1,0.006760732303569208,0.6233842720477513,0.5492995161023346,0.8179616391658783,0.14961013103959625,0.2893798828125,0.3927774203787101,-58.94206547930638,8,32,32,0,169,42.25,10,10.0,50,307.4227,5.123711666666667,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,1e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,1,1,,0.1,2,0.054141077480362725,0.6146010446827017,0.5741652527380492,0.8302641630172729,0.13938834738172062,0.34075927734375,0.4392025581664886,-65.86901761896847,11,29,29,0,153,38.25,10,10.0,50,301.2774,5.02129,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2,False,False,1e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.5,,1.5,1,1,,0.1,2,0.054141077480362725,0.6129863237603201,0.5780522461816766,0.8079336494207382,0.1305103517390191,0.29989013671875,0.4076662077069245,-48.110831224562055,17,23,23,0,101,25.25,10,10.0,50,300.5356,5.0089266666666665,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,1e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,2.0,,2.0,1,1,,0.1,2,0.02860307028023343,0.6149508033981341,0.5738994177863396,0.8013110354542732,0.13239950545499526,0.297113037109375,0.3917423595201124,-44.58438286255226,26,14,14,0,51,12.75,10,10.0,50,304.6479,5.077465,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked,False,False,1e-05,4,2,8,10,5.0,1.0,1.0,NLL,forget_anchor_random_retain,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,0,1,,0.1,1,0.01430154804770646,0.6252530877018583,0.5464813888664708,0.8241918817162514,0.16098744585441108,0.5267578125,0.457367331276441,-87.40554154409966,30,10,10,0,48,12.0,10,10.0,50,305.502,5.0917,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,1e-05,4,2,8,10,5.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,1,1,,0.1,2,0.01430154804770646,0.6144085222209791,0.5449546472230973,0.8284820422530175,0.14549654328771064,0.53916015625,0.47857474961828095,-91.18387907482442,31,9,9,0,34,8.5,10,10.0,50,306.3795,5.106325,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2,False,False,1e-05,4,2,8,10,5.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.5,,1.5,1,1,,0.1,2,0.02860307028023343,0.6150876494333999,0.5466396706121401,0.8272307306528092,0.14873728402845138,0.542578125,0.47588196140400374,-91.43576824353937,39,1,1,0,3,0.75,10,10.0,50,306.7255,5.112091666666667,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,1e-05,4,2,8,10,5.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,2.0,,2.0,1,1,,0.1,2,0.01430154804770646,0.6151994987546465,0.5477213645854215,0.8261447072029113,0.14873728402845138,0.5372802734375,0.4805973653286917,-91.18387907482439,40,0,0,0,0,0.0,10,10.0,50,307.2485,5.120808333333333,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr1e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked,False,False,2e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,0,1,,0.1,1,0.2656871402817289,0.6190094330714863,0.6477542826585897,0.7327105075120925,0.08265164705438527,0.145367431640625,0.3289750591461308,26.574307299430867,3,37,38,1,289,72.25,10,10.0,50,296.6251,4.9437516666666665,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,2e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,1,1,,0.1,2,0.2656871402817289,0.6116212190566201,0.6287103411629065,0.7357386961579323,0.08198473855316024,0.15054550170898437,0.3697789768962352,25.314861455855947,3,37,37,0,289,72.25,10,10.0,50,293.84,4.897333333333333,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked,False,False,2e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,1,1,,0.1,2,0.404587405685253,0.6192903414955384,0.6476939088354265,0.7332539856433868,0.09080382096742876,0.14593963623046874,0.33520304114667254,26.70025188378838,3,37,38,1,290,72.5,10,10.0,50,297.4909,4.9581816666666665,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2_samplingbaseline_masked
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2,False,False,2e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.5,,1.5,1,1,,0.1,2,0.16497269950224194,0.6197129310679929,0.6163002626854268,0.6457502953708172,0.057335495558579606,0.04980926513671875,0.22235282502142611,87.65743071281464,1,39,39,0,287,71.75,10,10.0,50,293.0572,4.884286666666667,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge1.5_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,2e-05,4,2,8,10,1.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,2.0,,2.0,1,1,,0.1,2,0.09707484379785862,0.6177311648502232,0.5721657209305274,0.4163655016571283,0.0383923181023574,0.01743605136871338,0.05076209050546689,96.72544078655407,1,39,39,0,277,69.25,10,10.0,50,295.6917,4.9281950000000005,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta1.0_e10_ies_wga_normnll_gain_ge2.0_warm1_patience1_rebounddelta0.1_rpat2
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked,False,False,2e-05,4,2,8,10,5.0,1.0,1.0,NLL,forget_anchor_random_retain,full_retain,fixed_original_valid_tokens,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,0,1,,0.1,1,0.054141077480362725,0.6210877993677792,0.5950668069553577,0.7583912461996078,0.08462348012555707,0.30137939453125,0.40127112341808946,-48.61460956199203,8,32,32,0,235,58.75,10,10.0,50,302.1363,5.035605,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm0_patience1_rebounddelta0.1_rpat1_samplingbaseline_masked
forget01,40,Llama-2-7b-chat-hf,WGA,SampleEarlyStopWGAIrreversible,absolute_nll_gain,per_sample_length_normalized_nll_gain_from_initial,lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2,False,False,2e-05,4,2,8,10,5.0,1.0,1.0,NLL,forget_anchor_random_retain,legacy_or_unspecified,legacy_or_unspecified,absolute_gain_below_threshold_minus_delta,,1.0,,1.0,1,1,,0.1,2,0.054141077480362725,0.6110529715590528,0.603906147198727,0.7604519098997116,0.0937144685907658,0.301446533203125,0.4004342458729445,-42.19143575975991,10,30,31,1,217,54.25,10,10.0,50,297.1824,4.95304,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/eval/TOFU_SUMMARY.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/ies_wga_nll_gain_history.jsonl,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2/trainer_state.json,/unlearning/experment_data/checkpoints/tofu/forget01/Llama-2-7b-chat-hf/SampleEarlyStopWGAIrreversible/lr2e-5_b4_ga2_beta5.0_e10_ies_wga_normnll_gain_ge1.0_warm1_patience1_rebounddelta0.1_rpat2
